,type,sentence_count,syll_count,word_count,word_per_sentence,word_length,avg_word_length,count_unique_word,TTR,neg_sentiment,neu_sentiment,pos_sentiment,compound_sentiment,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,syll_count_scaled,word_count_scaled,count_unique_word_scaled,word_length_scaled,sentence_count_scaled,TTR_scaled,avg_word_length_scaled,word_per_sentence_scaled,E-I,N-S,T-F,J-P
27,ISFP,49,1328,968,19.755102040816325,4889,5.050619834710743,578,0.5971074380165289,0.057999999999999996,0.764,0.17800000000000002,0.9987,0.02469135802469136,0.043209876543209874,0.0,0.12345679012345677,0.07407407407407407,0.2901234567901235,0.08024691358024691,0.037037037037037035,0.043209876543209874,0.16049382716049382,-0.8432107998965844,-0.7287060640988864,-0.1399566732267905,-0.8362996114804003,0.14285714285714285,0.19206190276440213,1.1476501331364155,-5.100942448692205,1,0,0,0
28,INFP,48,2115,1496,31.166666666666668,7966,5.324866310160428,600,0.4010695187165775,0.044000000000000004,0.747,0.21,0.9998,0.08196721311475409,0.05327868852459016,0.0,0.13524590163934427,0.06557377049180327,0.26639344262295084,0.07377049180327869,0.036885245901639344,0.020491803278688527,0.13524590163934427,0.5256759563711831,0.5818793864263898,-0.017766093677193368,0.64376061192298,0.0,-0.03053226165357699,1.1063471690871085,0.5615745802170428,1,1,0,0
29,INFJ,48,2349,1621,33.770833333333336,8578,5.29179518815546,637,0.3929673041332511,0.141,0.698,0.161,0.9827,0.09669811320754718,0.10377358490566037,0.0,0.12028301886792453,0.0660377358490566,0.15566037735849056,0.15330188679245282,0.08962264150943396,0.06367924528301888,0.07311320754716981,0.9326892994037848,0.8921505631605935,0.18773624465622,0.9381372309424368,0.0,0.21043112273687611,1.0515458597245375,0.5615745802170428,1,1,0,1
30,INFP,50,2403,1729,34.58,8801,5.090225563909774,733,0.4239444765760556,0.10400000000000001,0.6829999999999999,0.212,0.9997,0.08498583569405099,0.09631728045325777,0.0,0.09631728045325777,0.048158640226628885,0.19830028328611896,0.1359773371104816,0.09915014164305948,0.050991501416430586,0.11048158640226627,1.0266154554882314,1.1602248598589455,0.7209315008726439,1.0454019140165198,0.2857142857142857,0.6213722234501088,0.901033885917265,4.06078700950631,1,1,0,0
31,INFJ,50,1445,1040,20.8,5250,5.048076923076923,443,0.4259615384615385,0.121,0.6459999999999999,0.233,0.9994,0.09387755102040816,0.06938775510204083,0.0,0.09795918367346937,0.07755102040816328,0.17142857142857146,0.16326530612244894,0.07346938775510205,0.057142857142857134,0.10612244897959183,-0.6397041283802836,-0.549989866299985,-0.8897625022811366,-0.6626558868627143,0.2857142857142857,1.6177798115935234,1.2048510844766671,-1.924964532049948,1,1,0,1
32,INTP,50,1912,1246,24.92,6808,5.463884430176565,620,0.4975922953451044,0.052000000000000005,0.76,0.18899999999999997,0.9996,0.041237113402061855,0.020618556701030927,0.0,0.1958762886597938,0.061855670103092786,0.3556701030927835,0.061855670103092786,0.030927835051546393,0.010309278350515464,0.10824742268041238,0.17258318442409695,-0.038662967042017465,0.09331625136789494,0.08675387201361548,0.2857142857142857,-2.4135822599047394,-2.2438493124269177,-0.13532038464706111,1,1,1,0
33,INFJ,50,2020,1461,29.22,7507,5.138261464750171,592,0.40520191649555104,0.09,0.71,0.2,0.9996,0.08906882591093117,0.06882591093117409,0.0,0.1417004048582996,0.032388663967611336,0.2267206477732793,0.15789473684210525,0.044534412955465584,0.032388663967611336,0.10526315789473684,0.3604354965929901,0.4950034569408128,-0.06219903169522869,0.4229781476583873,0.2857142857142857,-0.1256537319549786,0.8544953408455942,1.7325120992928449,1,1,0,1
34,ENFJ,48,1533,1112,23.166666666666668,5699,5.125,574,0.5161870503597122,0.076,0.664,0.26,0.9998,0.050420168067226885,0.06722689075630252,0.0,0.12184873949579833,0.04201680672268908,0.22689075630252103,0.1092436974789916,0.07563025210084033,0.06302521008403361,0.1134453781512605,-0.4866392814278521,-0.3712736685010838,-0.16217314223580814,-0.4466834980722957,0.0,0.4368021650728369,1.2031111710013225,0.5615745802170428,0,1,0,1
35,INFJ,24,517,363,15.125,1889,5.203856749311295,245,0.6749311294765841,0.214,0.557,0.22899999999999998,0.8475,0.07920792079207921,0.049504950495049514,0.0,0.099009900990099,0.0396039603960396,0.2079207920792079,0.15841584158415842,0.13861386138613865,0.0297029702970297,0.1188118811881188,-2.253842514424106,-2.2304185594924317,-1.989477718227511,-2.2793222537326403,-3.4285714285714284,0.8919750554264796,1.021925792372951,0.6505387465186261,1,1,0,1
36,INTJ,45,2213,1558,34.62222222222222,8104,5.201540436456996,697,0.4473684210526316,0.08,0.725,0.195,0.9997,0.056105610561056105,0.056105610561056105,0.0,0.1617161716171617,0.0462046204620462,0.2475247524752475,0.099009900990099,0.0429042904290429,0.0594059405940594,0.12211221122112212,0.6961345359318454,0.7357738900865548,0.520983279791485,0.7101396534665829,-0.42857142857142855,0.7080752481311856,0.9651601708549942,-1.7168057435352946,1,1,1,1
37,INFP,47,2132,1572,33.4468085106383,7794,4.958015267175573,608,0.3867684478371501,0.132,0.7120000000000001,0.156,0.9967,0.0653061224489796,0.08571428571428573,0.0,0.08979591836734692,0.0326530612244898,0.17959183673469387,0.17551020408163265,0.09387755102040816,0.06938775510204083,0.09795918367346937,0.5552453018051755,0.7705242618807856,0.02666684434084196,0.5610273137671848,-0.14285714285714285,0.03460870171141712,0.7281111595341123,-5.393669833165499,1,1,0,0
38,ENFP,47,2195,1488,31.659574468085108,8122,5.458333333333333,794,0.5336021505376344,0.11900000000000001,0.688,0.193,0.9991,0.07716049382716049,0.04938271604938271,0.0,0.12654320987654322,0.05864197530864197,0.2654320987654321,0.12345679012345677,0.05864197530864197,0.037037037037037035,0.10493827160493828,0.6648258172370299,0.5620220311154008,1.0597326532601632,0.7187977893200964,-0.14285714285714285,1.885571373700414,1.2789494886767252,-3.934154217807806,0,1,0,0
39,ENTJ,50,2485,1789,35.78,9139,5.1084404695360535,808,0.451648965902739,0.10300000000000001,0.765,0.132,0.9965,0.08,0.04923076923076923,0.0,0.12615384615384614,0.05846153846153846,0.24,0.12615384615384614,0.04615384615384616,0.033846153846153845,0.1046153846153846,1.1692440628757244,1.3091550246913632,1.1374902947917251,1.2079824650436055,0.2857142857142857,0.8688736424167118,0.9227191908218744,4.582042586419771,0,1,1,1
40,ISTP,47,2297,1657,35.255319148936174,8368,5.050090525045262,699,0.42184671092335546,0.053,0.799,0.149,0.9995,0.057239057239057235,0.0707070707070707,0.0,0.1447811447811448,0.04713804713804714,0.2323232323232323,0.101010101010101,0.060606060606060615,0.03367003367003367,0.12457912457912458,0.8422418898409845,0.9815086620600442,0.5320915142959938,0.83712564598478,-0.14285714285714285,0.5421159637849868,0.8528968498635303,-6.870560634420309,1,0,1,0
41,INFJ,47,2050,1528,32.51063829787234,7764,5.0811518324607325,719,0.4705497382198953,0.10300000000000001,0.738,0.16,0.9985,0.05381165919282512,0.06726457399103139,0.0,0.11210762331838564,0.04932735426008968,0.2242152466367713,0.13901345291479822,0.09417040358744394,0.04932735426008968,0.09865470852017937,0.4126166944176826,0.6613088076703459,0.6431738593410821,0.5465970873446625,-0.14285714285714285,0.9725771861512784,0.8265383448773514,-4.629161653692422,1,1,0,1
42,INTP,50,1624,1126,22.52,5937,5.272646536412078,573,0.5088809946714032,0.086,0.759,0.155,0.9975,0.07650273224043716,0.060109289617486336,0.0,0.13114754098360654,0.04371584699453552,0.27322404371584696,0.15300546448087432,0.049180327868852465,0.049180327868852465,0.07103825136612021,-0.3283563146929514,-0.3365232967068529,-0.16772725948806258,-0.3322037017869514,0.2857142857142857,0.4984120301013532,0.9871640538346907,-1.1778315384739853,1,1,1,0
43,INFP,48,2213,1529,31.854166666666668,7863,5.142576847612819,689,0.4506213211249183,0.057999999999999996,0.762,0.18,0.9997,0.0821917808219178,0.045662100456620995,0.0,0.1643835616438356,0.0684931506849315,0.1963470319634703,0.1004566210045662,0.0593607305936073,0.0273972602739726,0.1324200913242009,0.6961345359318454,0.6637909770842196,0.4765503417734496,0.5942168345389863,0.0,0.7179222951579628,0.8951866702815908,0.5615745802170428,1,1,0,0
44,INTJ,41,1431,1038,25.317073170731707,5345,5.149325626204239,561,0.5404624277456648,0.114,0.6809999999999999,0.205,0.9990000000000001,0.05829596412556054,0.05381165919282512,0.0,0.11210762331838564,0.044843049327354265,0.2152466367713005,0.15695067264573992,0.07174887892376683,0.022421524663677132,0.13452914798206278,-0.6640553540318067,-0.5549542051277323,-0.2343766665151156,-0.61696016985806,-1.0,0.42233514828700097,1.1117316783211977,0.5549542051277323,1,1,1,1
45,INTP,45,2416,1661,36.91111111111111,8727,5.254063816977724,768,0.4623720650210717,0.09699999999999999,0.728,0.175,0.9993,0.07142857142857142,0.06832298136645963,0.0,0.12422360248447205,0.031055900621118005,0.2422360248447205,0.12422360248447205,0.08074534161490682,0.043478260869565216,0.11180124223602483,1.0492273078789316,0.9914373397155386,0.9153256047015484,1.0098073555076312,-0.42857142857142855,0.9232309174114544,1.0185286705031338,-2.3133537926695897,1,1,1,0
46,ENTJ,49,2462,1628,33.224489795918366,9034,5.549140049140049,806,0.4950859950859951,0.08900000000000001,0.797,0.114,0.995,0.05243445692883896,0.10112359550561796,0.0,0.12359550561797752,0.03745318352059925,0.2172284644194757,0.1947565543071161,0.0599250936329588,0.06367041198501873,0.06741573033707865,1.1292384778767934,0.9095257490577088,1.1263820602872163,1.1574766725647772,0.14285714285714285,1.238427896575964,1.2726156172752134,6.366680243403962,0,1,1,1
47,INFP,50,2356,1635,32.7,8257,5.050152905198777,730,0.44648318042813456,0.096,0.722,0.183,0.9996,0.037414965986394565,0.040816326530612235,0.0,0.17687074829931973,0.061224489795918366,0.2619047619047619,0.09183673469387756,0.030612244897959183,0.020408163265306117,0.15306122448979592,0.9448649122295464,0.9269009349548244,0.7042691491158807,0.7837338082214471,0.2857142857142857,0.7598105930815634,0.8455421487514684,3.2441532723418853,1,1,0,0
48,ISFJ,50,2468,1769,35.38,8885,5.022611644997173,667,0.3770491803278688,0.099,0.733,0.168,0.9992,0.06944444444444445,0.06944444444444445,0.0,0.11805555555555555,0.059027777777777776,0.2013888888888889,0.12152777777777778,0.059027777777777776,0.06944444444444445,0.09722222222222222,1.139674717441732,1.2595116364138903,0.3543597622238525,1.0858065479995826,0.2857142857142857,0.2813469538342603,0.8620853643648066,4.408290727448617,1,0,0,1
49,INTJ,38,1583,1150,30.263157894736842,5900,5.130434782608695,589,0.5121739130434783,0.095,0.767,0.138,0.9947,0.12060301507537688,0.06030150753768844,0.0,0.1306532663316583,0.055276381909547735,0.16080402010050251,0.15577889447236182,0.09045226130653268,0.04522613065326633,0.10050251256281408,-0.3996706183866979,-0.27695123077388584,-0.07886138345199194,-0.35000098104139565,-1.4285714285714286,0.28474826860898683,1.2637639488489965,0.19386586154172009,1,1,1,1
50,INTP,50,2250,1589,31.78,8230,5.179358086847073,618,0.3889238514789176,0.07400000000000001,0.7140000000000001,0.213,0.9998,0.052208835341365466,0.0642570281124498,0.0,0.12048192771084335,0.04016064257028112,0.2730923694779117,0.14056224899598393,0.07630522088353414,0.0321285140562249,0.1004016064257028,0.7604913465822996,0.8127211419166374,0.08220801686338611,0.7707466044411769,0.2857142857142857,0.10115156678404506,0.9483530877805492,2.8445239967082308,1,1,1,0
51,INFP,46,2109,1514,32.91304347826087,7719,5.098414795244386,699,0.4616908850726552,0.09300000000000001,0.6809999999999999,0.226,0.9997,0.05089820359281437,0.04790419161676647,0.0,0.10479041916167664,0.0688622754491018,0.2275449101796407,0.10778443113772457,0.07784431137724551,0.041916167664670656,0.1497005988023952,0.5152397168062446,0.6265584358761151,0.5320915142959938,0.5249517477108788,-0.2857142857142857,0.8492288728855298,0.8378336602823646,-2.192954525566403,1,1,0,0
52,ISFJ,47,2096,1455,30.95744680851064,7787,5.351890034364261,752,0.5168384879725086,0.05,0.726,0.22399999999999998,0.9998,0.04332129963898917,0.036101083032490974,0.0,0.1552346570397112,0.04332129963898917,0.2851985559566787,0.07581227436823104,0.06137184115523465,0.01444043321299639,0.1371841155234657,0.4926278644155445,0.4801104404575711,0.8264597286654778,0.557660260935263,-0.14285714285714285,1.7213950354377157,1.1615249616396237,-3.360773083202998,1,0,0,1
53,INTP,50,2055,1532,30.64,7756,5.06266318537859,665,0.4340731070496083,0.096,0.708,0.196,0.9996,0.035842293906810034,0.03225806451612903,0.0,0.2043010752688172,0.06093189964157706,0.2652329749103943,0.08243727598566307,0.05017921146953405,0.025089605734767026,0.13261648745519716,0.4213135607217981,0.6712374853258405,0.34325152771934364,0.5427490269653231,0.2857142857142857,0.5113712139492897,0.8085797334483713,2.3493311986404417,1,1,1,0
54,INFP,42,1871,1359,32.357142857142854,6908,5.083149374540103,656,0.4827078734363502,0.068,0.701,0.231,0.9998,0.03985507246376811,0.03260869565217391,0.0,0.16666666666666666,0.06884057971014493,0.2246376811594203,0.11594202898550725,0.07246376811594203,0.036231884057971016,0.13043478260869565,0.10126888073035048,0.24182217672570264,0.2932644724490539,0.13485462675535678,-0.8571428571428571,1.212727783778499,0.5576602964265001,-0.2821258728466531,1,1,0,0
55,INFP,54,1514,1061,19.64814814814815,5391,5.081055607917059,512,0.4825636192271442,0.076,0.723,0.201,0.9993,0.06593406593406594,0.07692307692307693,0.0,0.14835164835164835,0.038461538461538464,0.17582417582417584,0.16483516483516486,0.07692307692307693,0.04395604395604396,0.10989010989010987,-0.5196873733834907,-0.4978643086086389,-0.5065284118755821,-0.594833822676859,0.8571428571428571,1.0174025394412312,1.194770969502146,-0.5808416933767453,1,1,0,0
56,INFP,49,1996,1416,28.897959183673468,7274,5.137005649717514,663,0.4682203389830508,0.086,0.65,0.264,0.9999,0.06050955414012739,0.03821656050955414,0.0,0.15605095541401273,0.05414012738853504,0.2229299363057325,0.10509554140127388,0.07643312101910828,0.03503184713375796,0.14012738853503184,0.3186905383332361,0.3833058333164995,0.3321432932148348,0.31090338911013,0.14285714285714285,0.8665229285477134,0.811110507815867,2.6831408332154965,1,1,0,0
57,ENFJ,47,1896,1350,28.72340425531915,6943,5.142962962962963,649,0.4807407407407408,0.107,0.706,0.18600000000000003,0.9991,0.06329113924050632,0.06329113924050632,0.0,0.14345991561181434,0.033755274261603366,0.2531645569620253,0.16033755274261605,0.06329113924050632,0.0379746835443038,0.1139240506329114,0.1447532122509276,0.21948265200084,0.25438565168327304,0.15168989091496626,-0.14285714285714285,1.1590239564004332,0.6911247405302252,-1.5363785640058798,0,1,0,1
58,INTP,44,2025,1394,31.681818181818183,7357,5.277618364418938,699,0.5014347202295553,0.08900000000000001,0.7929999999999999,0.11800000000000001,0.9906,0.08645533141210375,0.04899135446685879,0.0,0.1181556195965418,0.06340057636887607,0.2017291066282421,0.14697406340057634,0.07780979827089338,0.05763688760806916,0.10951008645533143,0.3691323628971055,0.32869810621127965,0.5320915142959938,0.3508270155457753,-0.5714285714285714,1.6187848492013444,1.067322898782604,-0.5752216858697394,1,1,1,0
